date,Antep Fıstığı (Pistachio),Armut (Pear),Ay Çekirdeği (Sun flower seed),Ayçiçek Yağı (Sun-flower oil),Ayran  (Ayran ),Ayva (Quince),Badem İçi (Almond),Baharat (Condiment-spices),Baklava (Dessert),Bal (Honey),Balık (Fresh fish),Bebek Maması (Toz Karışım) (Baby food),Beyaz Lahana (Cabbage),Beyaz Peynir (White cheese),Bisküvi (Biscuit),Buğday Unu (Wheat flour),Bulgur (Boiled and pounded wheat),Çarliston Biber (Sweet green pepper),Çay (Tea),Ceviz İçi (Walnut (without shells)),Çikolata Krem (Chocolate cream),Çikolata Tablet (Tablet of chocolate),Çilek (Strawberry),Cipsler (Chips and appetizers),Dana Eti (Veal),Dereotu (Dill),Diğer Bakliyat (Kuru Barbunya) (Other pulse),Dolmalık Biber (Stuff pepper),Domates (Tomato),Dondurma (Ice-cream),Ekmek (Bread),Ekmek Hamuru (Yufka) (Thin dough),Elma (Apple),Erik (Plum),Fındık Ezmesi (Hazelnut butter),Fındık İçi (Hazelnut (without shells)),Gazoz Meyveli (Carbonated fruity beverages),Gofret (Wafer),Havuç (Carrot),Hazır Çorbalar (Packaged soup),Hazır Et Yemekleri (Prepared meat dishes),Hazır Kahve (Ready-made coffee),Hazır Pakette Toz Tatlılar (Puding) (Pudding),Hazır Sütlü Tatlılar (Ready made milky sweets),Ispanak (Spinach),Kabak (Zucchini),Kabak Çekirdeği (Pumpkin seed),Kabartma Maddeleri (Baking powder),Kağıtlı Şeker (Holiday candy),Kahve (Turkish coffee),Kakao (Cocoa),Kakaolu Toz İçecekler  (Cocoa beverages),Karnabahar (Cauliflower),Karpuz (Water melon),Kaşar Peyniri (Kasar cheese),Kavun (Melon),Kayısı (Apricot),Kek (Cake),Kesme Şeker (Cube sugar),Ketçap (Ketchup),Kiraz (Cherry),Kırmızı Lahana (Red cabbage),Kırmızı Turp (Radish),Kivi (Kiwi),Kola (Coke),Konserve Balık (Canned fish),Konserveler (Canned  vegetables),Kraker (Cracker),Krem Peynir (Cream cheese),Kuru Fasulye (Dry bean),Kuru Kayısı (Dried apricot),Kuru Soğan (Onion),Kuzu Eti (Lamb),Leblebi (Roasted chick-pea),Limon (Lemon),Lokum (Turkish delight),Maden Suyu ve Sodası (Mineral  water),Makarna (Macaroni),Mandalina (Tangarine),Mantar (Mushroom),Margarin (Margarine),Maydanoz (Parsley),Mayonez (Mayonnaise),Mercimek (Lentils),Meyve Suyu (Fruit juice),Mısırözü Yağı (Corn oil),Muz (Banana),Nane (Spearmint),Nohut (Chickpea),Pasta (Cream-cake and patisserie),Patates (Potato),Patlıcan (Eggplant),Pekmez (Grape molasses),Pırasa (Leek),Pirinç (Rice),Portakal (Orange),Bitki ve Meyve Çayı (Poşet) (Herbal tea),Reçel (Jam),Roka (Rocket),Sakatat (Offal),Sakız (Chewing gum),Salam (Salami),Salatalık (Cucumber),Salça (Tomato sauce),Sarımsak (Garlic),Şeftali (Peach),Şehriye (Wermicelli),Sirke (Vinegar),Sivri Biber (Green pepper),Soğuk Çay (Ice tea),Sosis (Sausage),Su (Water),Sucuk (Garlic-flavored sausage),Süt (Milk),Tahıl Gevreği (Cereal),Tahin (Sesame oil),Tahin Helvası (Halvah),Tavuk Eti (Poultry),Taze Fasulye (Green bean),Tere (Cress),Tereyağı (Kahvaltılık) (Butter),Toz Şeker (Granulated sugar),Tulum Peyniri (Tulum cheese),Tuz (Salt),Üzüm (Grape),Yer Fıstığı (Peanuts),Yeşil Soğan (Green onion),Yoğurt (Yoghurt),Yumurta (Egg),Zeytin (Olive),Zeytinyağı (Olive oil)
13/07/2018,83.99800645,73.8082146,34.01352936,69.5683998,63.6522413,77.72547068,83.10359805,77.93666224,73.40985682,79.66381505,30.24587925,67.93047191,113.2077139,77.02796018,65.16580649,86.1620118,59.65148076,84.17127567,97.46060861,112.6521049,65.3792698,72.27505205,89.87290881,75.38625744,95.5573542,80.74689272,76.9153585,69.89463074,88.96824704,70.81698889,45.8014262,72.52329878,106.4454824,45.93506575,80.84162504,82.99871472,74.0674662,62.27194925,168.5277137,60.74005073,70.1142676,69.14264178,67.58795669,63.73692262,106.9600478,137.4345312,79.42279149,70.16596871,108.0641757,66.49571309,85.23703578,117.7781345,115.0138832,95.17410384,111.6805141,81.76303672,52.72863939,61.10608264,85.20137328,59.97724628,65.91564543,107.1591556,151.4020571,81.24543614,69.92153983,89.70252969,68.69015778,79.58398518,78.20906247,60.57244002,88.05268417,94.92398029,101.5506292,94.29708087,137.9037039,116.1103302,60.1103218,61.93172569,93.75879068,71.18872409,71.53007865,81.68509915,75.34373936,78.46726006,67.33415301,96.87351179,87.27677671,76.42115372,120.5708541,63.12392698,158.6187204,37.85136996,66.44587982,185.3564754,60.31649395,127.5232968,83.76791125,75.54535404,79.16421214,50.91958813,77.20999021,132.562328,49.82846821,57.73592761,60.33955489,53.13881107,59.79742301,79.04727089,79.79675514,70.30757946,77.89192371,63.25967568,67.15019403,73.08147436,61.64806578,74.58460642,83.66844232,86.85530455,59.78171223,90.79284553,62.8117566,87.60883586,86.76260946,58.44989592,95.90736699,52.00194012,48.78756119,72.66031876,97.48327877,99.99162614,95.89834964
14/07/2018,95.02843458,73.8082146,34.01352936,69.5683998,63.50639542,75.07219946,83.10359805,77.93666224,73.40985682,79.66381505,30.24587925,67.93047191,113.0249987,77.02796018,65.16580649,86.1620118,59.11871121,84.17127567,97.41445869,112.6521049,65.3792698,72.27505205,86.80496724,75.40694276,95.58289329,80.74689272,76.9153585,69.89463074,92.58727992,69.94804457,45.8014262,72.52329878,106.4454824,44.18787199,80.84162504,84.677571,73.59748338,62.27194925,164.9023315,60.74005073,70.24126694,69.14264178,67.58795669,63.73692262,106.7874162,137.4345312,79.42279149,70.16596871,108.0641757,66.49571309,85.23703578,117.7781345,114.8282529,72.24476079,111.6805141,81.76303672,52.72863939,61.10608264,85.20137328,60.1124478,65.91564543,106.9862027,151.1576969,78.47200581,69.92153983,89.70252969,68.89785407,79.58398518,78.20906247,60.57244002,88.05268417,96.1909942,101.5506292,94.29708087,144.0891207,116.1103302,60.1103218,61.93172569,90.55819892,71.18872409,73.92027579,81.68509915,75.34373936,78.46726006,67.28011089,96.87351179,87.27677671,76.42115372,120.5708541,63.12392698,150.0269432,40.59137177,67.42117169,185.0573135,60.76086619,123.1701048,83.76791125,75.54535404,79.16421214,50.91958813,77.20999021,125.3128501,49.00146936,56.25553114,60.33955489,50.28415118,59.79742301,78.49721443,77.47594287,70.30757946,79.89108739,64.01789746,66.9220962,73.08147436,61.64806578,75.79794472,83.66844232,87.43768128,54.95985959,90.79284553,62.8117566,87.60883586,86.76260946,58.44989592,90.65769726,52.19331232,48.78756119,72.4328967,97.48327877,99.81466853,95.89834964
15/07/2018,95.02843458,73.8082146,34.01352936,68.8217532,64.29320168,76.28559716,83.10359805,77.93666224,73.40985682,79.66381505,30.24587925,67.93047191,113.1772731,77.02796018,65.16580649,80.87248287,60.5942609,84.17127567,98.72919966,112.6521049,65.3792698,72.27505205,88.20800256,75.40694276,95.58289329,80.74689272,76.9153585,69.89463074,94.4903491,69.94804457,45.8014262,72.52329878,106.4454824,44.18787199,80.84162504,84.677571,73.59748338,62.27194925,164.9023315,60.74005073,70.57556646,69.90992139,67.58795669,63.73692262,106.931287,137.4345312,79.42279149,70.16596871,108.2941917,66.49571309,85.23703578,117.7781345,114.9829567,72.24476079,112.1425491,81.76303672,52.72863939,61.10608264,85.20137328,60.1124478,70.91841752,107.1303412,151.3613461,79.74035485,69.92153983,89.70252969,68.24280972,79.58398518,78.20906247,60.57244002,88.05268417,93.27650085,101.5506292,94.29708087,144.0891207,116.1103302,60.8500063,61.93172569,92.02189802,71.18872409,73.92027579,80.9474959,75.34373936,78.62659002,67.28011089,96.87351179,95.47421303,76.42115372,120.5708541,63.12392698,155.330608,42.48081407,67.42117169,185.3066344,60.9692435,125.1609127,84.89643456,75.54535404,79.16421214,50.91958813,76.51263506,125.3128501,47.4041761,56.25553114,60.33955489,50.28415118,59.79742301,78.49721443,75.22262919,70.30757946,79.89108739,64.28914205,67.27443013,73.08147436,61.64806578,75.79794472,83.66844232,86.42595713,54.95985959,90.79284553,62.8117566,87.60883586,86.76260946,58.44989592,91.88492828,52.19331232,51.85029137,73.39967511,97.48327877,99.81466853,95.89834964
16/07/2018,95.02843458,71.79154376,34.01352936,68.85757429,64.29320168,78.40010925,83.10359805,77.93666224,73.40985682,79.66381505,30.24587925,67.93047191,110.857285,77.4747634,65.16580649,80.87248287,60.5942609,84.17127567,97.57551219,112.6521049,65.3792698,73.48419609,90.65298424,75.40694276,95.36949188,83.60455523,76.9153585,69.89463074,95.03962953,69.67369724,45.8014262,72.52329878,105.6776867,44.64473219,80.84162504,84.677571,72.80589225,62.27194925,156.535504,60.74005073,70.66175868,69.90992139,67.58795669,63.73692262,104.7393335,120.8248074,79.42279149,70.16596871,108.2941917,66.49571309,85.23703578,117.7781345,112.6259545,88.73322995,112.1425491,81.76303672,55.88118602,61.10608264,85.20137328,60.1124478,70.91841752,104.9343075,148.2586338,81.95062717,69.92153983,89.70252969,68.77764956,79.58398518,77.52610861,60.57244002,88.05268417,87.99233623,101.5506292,94.29708087,144.0891207,116.1103302,59.50281083,61.93172569,94.57259465,71.18872409,73.92027579,80.9474959,75.34373936,78.62659002,67.28011089,96.87351179,94.41899019,76.42115372,120.5708541,63.12392698,133.3125933,41.39802582,67.42117169,181.5080875,60.9692435,128.6301686,84.89643456,75.54535404,79.16421214,50.91958813,76.51263506,125.3128501,46.09848011,56.70409184,60.61320507,51.78061371,60.20476711,78.49721443,74.42097268,70.30757946,79.89108739,64.06163259,67.27443013,72.76294919,61.64806578,76.40513703,83.66844232,86.73306677,52.10373236,90.79284553,62.8117566,87.60883586,86.76260946,58.44989592,95.9752975,52.72486288,48.78756119,73.69125506,97.48327877,99.81466853,95.89834964
17/07/2018,95.02843458,67.40070752,34.01352936,68.80596814,64.0309304,72.82610495,83.72725477,77.93666224,73.40985682,79.66381505,30.24587925,67.93047191,106.6852545,79.52142406,65.16580649,80.87248287,60.5942609,84.17127567,97.62096025,112.6521049,66.59262212,73.48419609,84.20783859,75.40694276,95.38405128,83.60455523,76.9153585,59.98995422,88.87683932,69.67369724,45.8014262,72.52329878,103.584918,42.27106572,80.84162504,82.99871472,72.69012283,62.27194925,121.1708564,60.74005073,66.59514933,69.90992139,67.56218029,63.84161023,100.7975475,116.4175313,79.42279149,70.16596871,88.28935319,66.52017719,85.23703578,117.7781345,108.3873614,69.76449682,112.1425491,71.69722484,49.2848594,61.62558615,84.66929023,60.1124478,70.91841752,100.9851837,142.6790316,76.12419208,68.7767791,89.70252969,69.22026082,79.58398518,77.52610861,60.57244002,88.05268417,105.2522558,104.936535,94.29708087,134.6394384,110.3099097,58.54084425,61.93172569,87.84877686,71.18872409,73.92027579,80.9474959,75.34373936,78.62659002,67.28011089,97.24017884,92.53447524,73.92069678,120.5708541,63.12392698,143.2836393,40.55947401,67.42117169,174.6771671,61.70136958,119.4849631,85.01910618,75.54535404,79.16421214,52.7165794,76.51263506,128.4295388,41.17324921,56.70409184,60.61320507,48.44435542,60.20476711,78.49721443,70.74826552,71.74173692,78.85666354,64.25578179,67.35148114,71.59941751,61.64806578,76.40513703,83.66844232,87.50995831,45.33408169,90.79284553,62.8117566,87.58556955,86.76260946,58.44989592,93.94073274,52.19331232,48.78756119,75.02208846,97.83438462,99.81466853,95.79583957
18/07/2018,95.02843458,69.26356469,34.01352936,69.5999026,62.82472363,75.11776446,83.87328962,77.22371244,73.40985682,79.61591351,30.24587925,67.93047191,111.1782838,79.43164385,65.16580649,80.87248287,61.10818432,83.83323705,97.70198114,112.6521049,66.91461674,73.2791742,86.85765343,75.246886,95.79292574,83.60455523,76.9153585,69.89463074,90.28698345,69.93711848,45.8014262,72.52329878,106.2315217,40.07321765,80.84162504,82.99871472,72.09198446,65.73734368,140.034185,60.74005073,66.64028321,69.90992139,67.38503839,63.83490788,105.0426172,123.6272561,79.42279149,70.16596871,90.9684409,66.59242443,85.23703578,117.7781345,112.9520747,69.76449682,112.1425491,79.63010455,55.88118602,60.71884508,84.66929023,60.1124478,70.91841752,105.2381557,148.6879321,78.51963432,68.7767791,91.5418744,69.53763582,79.58398518,77.54309589,57.38808133,88.05268417,100.6605418,104.936535,94.29708087,134.6394384,110.3099097,58.54084425,61.18208186,90.61316313,71.18872409,74.85628405,80.9474959,75.34373936,86.09064676,67.20229317,101.0714196,93.90939088,73.92069678,119.6960446,63.12392698,134.2421372,39.45892899,67.42117169,182.033663,60.55230675,123.2448628,85.01910618,75.54535404,79.16421214,47.59782684,76.51263506,128.8699773,43.92104031,56.82587381,72.46218162,50.40566828,60.57145532,78.49721443,75.35007128,71.74173692,78.85666354,64.25578179,67.35148114,71.85607783,61.64806578,76.40513703,83.66844232,88.08321987,52.10373236,90.79284553,63.1919763,89.590658,87.69772445,59.57958135,99.4233225,52.19331232,48.78756119,75.02208846,99.26735731,100.3011671,95.29381806
19/07/2018,97.68551708,69.26356469,34.01352936,68.59257211,67.82695213,74.36312691,83.72725477,78.25749279,75.80840438,83.25611989,31.0319248,67.93047191,110.7793909,77.18206978,65.16580649,77.46943904,59.60446027,79.8429927,96.97123391,112.6521049,68.12625583,73.15685236,85.98507625,80.52874864,96.40728196,83.60455523,74.87546732,69.89463074,82.42627817,69.89202863,45.8014262,72.52329878,106.2315217,40.07321765,86.05813328,83.80109619,71.56947499,62.27194925,140.034185,61.23736095,71.23198519,71.87258889,68.01398835,63.56820245,104.6657383,115.4797668,79.42279149,70.31466032,88.28935319,66.56923564,85.23703578,114.9894803,112.5468177,69.76449682,110.2231161,81.76303672,50.60555587,63.6403037,83.72067927,60.42013586,70.91841752,104.8605752,148.1544596,77.73082139,68.82167688,90.17707764,69.65727919,79.58398518,77.54309589,59.92766703,88.86384816,103.9579483,105.1839314,94.29708087,134.6394384,110.3099097,58.61874078,60.72948744,89.70285788,71.18872409,71.64009646,80.9474959,76.55442525,82.81725289,67.52273888,97.24017884,93.90939088,73.92069678,119.6960446,71.3057931,133.3125933,40.37568181,67.94106426,181.3805505,63.89881207,122.0067376,85.92946555,74.72382711,79.16421214,52.7165794,76.20943306,133.9244179,46.36869967,57.89225288,72.46218162,51.38585858,60.53802766,77.49819834,75.35007128,71.74173692,79.64819948,65.99899385,67.23939475,72.56903574,61.64806578,76.40513703,81.45694996,89.8061031,53.90050899,90.79284553,62.50308691,87.45722945,89.80265076,58.44989592,93.85914514,52.291693,48.78756119,76.43174134,111.9794275,102.808334,93.73678627
20/07/2018,97.68551708,69.26356469,34.01352936,68.59257211,66.91469452,72.3348379,83.72725477,78.05702981,75.80840438,83.25611989,31.0319248,67.93047191,111.9167359,77.93873794,62.12935393,77.46943904,59.60446027,72.96746699,96.31354286,112.6521049,67.39669809,73.60340014,83.63979315,80.52874864,96.58411603,96.91063599,74.87546732,65.0711963,82.80762531,69.89202863,45.8014262,72.52329878,109.1512746,35.46010474,86.05813328,83.80109619,73.58505518,62.41995021,140.034185,61.23736095,71.23198519,58.67888405,67.20773364,66.58969162,105.7403158,125.3413524,79.42279149,70.31466032,88.28935319,66.27236572,85.23703578,114.9894803,113.7023084,79.1468051,110.2231161,62.59836286,50.60555587,63.6403037,84.23734597,60.42013586,73.05635431,105.9371531,149.6755253,75.61067694,70.44627485,90.17707764,69.65727919,79.58398518,77.54309589,60.19541034,88.86384816,109.1570095,105.4398636,94.29708087,134.6394384,110.3099097,61.04251081,60.72948744,87.25617055,71.18872409,71.64009646,80.9474959,76.55442525,82.87966493,67.93522188,93.98045807,93.90939088,90.31634277,119.6960446,71.3057931,133.3125933,37.94637564,67.94106426,183.2427403,63.98521762,118.6789468,85.92946555,74.8054082,103.0857821,51.55478207,76.20943306,136.7613364,46.25919022,57.89225288,60.61320507,47.51796587,60.59686345,77.49819834,62.58341491,71.74173692,81.42945708,66.29448017,66.92177079,68.73847067,61.64806578,76.40513703,81.45694996,88.23056067,51.90908092,96.81867644,62.50308691,87.27492412,89.43184678,58.44989592,92.04196483,52.09736935,48.78756119,75.2561171,112.165962,102.808334,91.37040517
21/07/2018,97.68551708,69.26356469,47.24411582,69.22400664,69.03937246,69.73198659,83.87328962,78.89325204,75.80840438,81.82041467,31.0319248,67.93047191,110.6017687,77.93873794,64.57692649,77.46943904,61.56523863,72.96746699,96.43201239,112.6521049,67.39669809,74.46052656,80.63015144,80.69030317,96.11504295,96.91063599,74.87546732,65.0711963,75.61184462,69.60310983,45.8014262,72.52329878,109.1512746,35.46010474,83.32161634,83.80109619,74.13278329,62.48595733,140.034185,61.46664847,69.86810611,68.38923359,67.14241386,66.58969162,104.4979186,125.3413524,84.3038126,70.31466032,88.89774472,66.42800133,85.23703578,114.9894803,112.3663616,69.76449682,112.2145502,52.15459477,50.60555587,63.6403037,84.02238761,59.87745136,75.1942911,104.6924431,147.9169107,72.8899499,68.94840381,91.5418744,70.28352389,80.89043773,77.54309589,59.64089529,88.86384816,106.5994164,105.4398636,94.29708087,139.653452,110.3099097,61.04251081,58.801864,84.11639939,71.18872409,70.97359538,80.9474959,76.12190612,82.23929562,67.83981226,93.98045807,87.59461736,90.31634277,119.6960446,71.3057931,133.3125933,38.40262313,67.94106426,181.0897272,62.02661971,114.4084783,85.92946555,74.8054082,103.0857821,51.55478207,75.55807021,136.7613364,41.43729523,58.67280196,60.61320507,43.41924727,60.59686345,77.72198327,62.58341491,70.36680863,81.05036427,66.91016904,63.92194864,68.81594893,61.64806578,76.40513703,81.61280384,86.51510621,51.90908092,96.81867644,62.59573208,87.60887078,89.43184678,58.44989592,92.04196483,52.85619652,48.78756119,75.76163734,115.6668008,102.808334,91.37040517
22/07/2018,97.68551708,70.1485765,34.01352936,69.12634775,68.56473336,69.96295181,83.72725477,78.05702981,75.80840438,84.99183003,31.0319248,67.93047191,109.8786552,78.44185351,65.53231049,77.46943904,59.60446027,72.96746699,96.46650262,112.6521049,67.30796378,74.07025726,80.8972134,80.52874864,96.55830942,96.91063599,74.87546732,62.73696941,75.61184462,69.89202863,45.8014262,72.52329878,108.6766112,35.46010474,86.05813328,83.80109619,74.86579103,62.27194925,121.5254439,61.23736095,68.48452842,58.04937617,67.20773364,64.01640631,103.814712,125.3413524,79.42279149,70.31466032,88.28935319,66.42800133,85.23703578,114.9894803,111.6317111,69.76449682,110.2231161,52.15459477,50.60555587,63.6403037,84.23734597,60.42013586,77.33222789,104.0079647,146.949831,73.13137488,70.44627485,90.17707764,69.65727919,79.58398518,77.54309589,60.19541034,88.86384816,106.5994164,105.4398636,94.29708087,139.653452,110.3099097,61.04251081,60.72948744,84.39500845,71.18872409,73.54875826,80.9474959,76.55442525,82.87966493,67.93522188,93.98045807,87.59461736,90.31634277,119.6960446,71.3057931,133.3125933,38.40262313,67.94106426,179.905764,63.98521762,114.7874203,85.92946555,74.51520033,103.0857821,46.16421836,76.20943306,136.7613364,46.86371334,57.89225288,60.61320507,43.41924727,60.59686345,77.49819834,62.58341491,70.36680863,81.05036427,66.91016904,63.78330907,68.73847067,61.64806578,76.40513703,81.45694996,86.74426848,48.74756071,96.81867644,62.49712259,87.27492412,89.43184678,58.44989592,92.04196483,53.03262012,48.78756119,75.76163734,113.3126724,102.808334,91.360847
