date,Antep Fıstığı (Pistachio),Armut (Pear),Ay Çekirdeği (Sun flower seed),Ayçiçek Yağı (Sun-flower oil),Ayran  (Ayran ),Ayva (Quince),Badem İçi (Almond),Baharat (Condiment-spices),Baklava (Dessert),Bal (Honey),Balık (Fresh fish),Bebek Maması (Toz Karışım) (Baby food),Beyaz Lahana (Cabbage),Beyaz Peynir (White cheese),Bisküvi (Biscuit),Buğday Unu (Wheat flour),Bulgur (Boiled and pounded wheat),Çarliston Biber (Sweet green pepper),Çay (Tea),Ceviz İçi (Walnut (without shells)),Çikolata Krem (Chocolate cream),Çikolata Tablet (Tablet of chocolate),Çilek (Strawberry),Cipsler (Chips and appetizers),Dana Eti (Veal),Dereotu (Dill),Diğer Bakliyat (Kuru Barbunya) (Other pulse),Dolmalık Biber (Stuff pepper),Domates (Tomato),Dondurma (Ice-cream),Ekmek (Bread),Ekmek Hamuru (Yufka) (Thin dough),Elma (Apple),Erik (Plum),Fındık Ezmesi (Hazelnut butter),Fındık İçi (Hazelnut (without shells)),Gazoz Meyveli (Carbonated fruity beverages),Gofret (Wafer),Havuç (Carrot),Hazır Çorbalar (Packaged soup),Hazır Et Yemekleri (Prepared meat dishes),Hazır Kahve (Ready-made coffee),Hazır Pakette Toz Tatlılar (Puding) (Pudding),Hazır Sütlü Tatlılar (Ready made milky sweets),Ispanak (Spinach),Kabak (Zucchini),Kabak Çekirdeği (Pumpkin seed),Kabartma Maddeleri (Baking powder),Kağıtlı Şeker (Holiday candy),Kahve (Turkish coffee),Kakao (Cocoa),Kakaolu Toz İçecekler  (Cocoa beverages),Karnabahar (Cauliflower),Karpuz (Water melon),Kaşar Peyniri (Kasar cheese),Kavun (Melon),Kayısı (Apricot),Kek (Cake),Kesme Şeker (Cube sugar),Ketçap (Ketchup),Kiraz (Cherry),Kırmızı Lahana (Red cabbage),Kırmızı Turp (Radish),Kivi (Kiwi),Kola (Coke),Konserve Balık (Canned fish),Konserveler (Canned  vegetables),Kraker (Cracker),Krem Peynir (Cream cheese),Kuru Fasulye (Dry bean),Kuru Kayısı (Dried apricot),Kuru Soğan (Onion),Kuzu Eti (Lamb),Leblebi (Roasted chick-pea),Limon (Lemon),Lokum (Turkish delight),Maden Suyu ve Sodası (Mineral  water),Makarna (Macaroni),Mandalina (Tangarine),Mantar (Mushroom),Margarin (Margarine),Maydanoz (Parsley),Mayonez (Mayonnaise),Mercimek (Lentils),Meyve Suyu (Fruit juice),Mısırözü Yağı (Corn oil),Muz (Banana),Nane (Spearmint),Nohut (Chickpea),Pasta (Cream-cake and patisserie),Patates (Potato),Patlıcan (Eggplant),Pekmez (Grape molasses),Pırasa (Leek),Pirinç (Rice),Portakal (Orange),Bitki ve Meyve Çayı (Poşet) (Herbal tea),Reçel (Jam),Roka (Rocket),Sakatat (Offal),Sakız (Chewing gum),Salam (Salami),Salatalık (Cucumber),Salça (Tomato sauce),Sarımsak (Garlic),Şeftali (Peach),Şehriye (Wermicelli),Sirke (Vinegar),Sivri Biber (Green pepper),Soğuk Çay (Ice tea),Sosis (Sausage),Su (Water),Sucuk (Garlic-flavored sausage),Süt (Milk),Tahıl Gevreği (Cereal),Tahin (Sesame oil),Tahin Helvası (Halvah),Tavuk Eti (Poultry),Taze Fasulye (Green bean),Tere (Cress),Tereyağı (Kahvaltılık) (Butter),Toz Şeker (Granulated sugar),Tulum Peyniri (Tulum cheese),Tuz (Salt),Üzüm (Grape),Yer Fıstığı (Peanuts),Yeşil Soğan (Green onion),Yoğurt (Yoghurt),Yumurta (Egg),Zeytin (Olive),Zeytinyağı (Olive oil)
13/07/2018,21.98675112,5.58440095,3.335944118,17.01365826,2.291946636,5.316478871,16.50735397,5.271705105,32.45753895,24.69493802,12.10876937,47.16614666,2.934891753,18.86361941,1.583090445,4.517943861,3.948734978,4.99,20.43569786,25.85062564,8.96656807,3.115769245,8.758794608,3.349682435,56.50779021,1.712390288,15.23392788,6.648301019,7.218594052,6.33852301,1.961655325,5.231303293,6.156188353,6.292923182,13.14937733,14.32460204,2.870277397,1.110861116,4.908682025,2.041358891,12.99983873,2.088412832,2.129765794,2.723384935,4.240046227,5.142271898,8.017040638,1.639164261,4.0361484,9.950562267,2.817313212,10.07774186,6.612556911,1.972042596,30.89943438,3.590133528,8.459578586,1.14175881,5.326481741,5.54782706,11.99,3.293347655,4.240046227,8.448033325,2.939050731,18.95764506,6.712058262,0.776783933,7.976226017,10.37582973,11.52300548,4.542829774,66.89928334,10.44768331,9.225047574,13.88519117,2.207188978,2.015469371,7.065020212,4.963297579,3.485170958,1.615754519,7.773240792,8.278756051,2.435353226,17.69789562,9.264201191,1.800986522,13.77663796,17.52449556,3.632515671,3.44899016,8.900947295,5.928112424,9.676839703,5.612915533,6.142926672,7.407330214,1.704744532,25.56984608,2.290604366,10.39210511,4.097058113,7.778232971,8.318713843,5.33731117,1.755516823,5.283435981,4.733402582,2.683342371,9.542057796,1.951958044,16.22560758,2.894881116,6.95,13.44043064,10.45782454,15.09672589,9.405010446,1.823458253,13.52874587,13.8492057,34.54834449,4.890145507,6.46440399,4.348586739,4.064384152,6.112153396,12.03668704,15.87972357,41.65867856
14/07/2018,24.87400153,5.58440095,3.335944118,17.01365826,2.286695117,5.134993184,16.50735397,5.271705105,32.45753895,24.69493802,12.10876937,47.16614666,2.930154891,18.86361941,1.583090445,4.517943861,3.913467358,4.99,20.42602107,25.85062564,8.96656807,3.115769245,8.459800501,3.350601558,56.52289274,1.712390288,15.23392788,6.648301019,7.512230603,6.260747554,1.961655325,5.231303293,6.156188353,6.053564515,13.14937733,14.61435289,2.852064528,1.110861116,4.803086051,2.041358891,13.02338559,2.088412832,2.129765794,2.723384935,4.23320287,5.142271898,8.017040638,1.639164261,4.0361484,9.950562267,2.817313212,10.07774186,6.601884366,1.496938136,30.89943438,3.590133528,8.459578586,1.14175881,5.326481741,5.560333047,11.99,3.288032252,4.23320287,8.159647503,2.939050731,18.95764506,6.732353303,0.776783933,7.976226017,10.37582973,11.52300548,4.603465965,66.89928334,10.44768331,9.638820104,13.88519117,2.207188978,2.015469371,6.823845541,4.963297579,3.601628899,1.615754519,7.773240792,8.278756051,2.433398622,17.69789562,9.264201191,1.800986522,13.77663796,17.52449556,3.435756012,3.698657194,9.0315953,5.918544559,9.74813229,5.421310552,6.142926672,7.407330214,1.704744532,25.56984608,2.290604366,9.823788778,4.029059588,7.578792707,8.318713843,5.050586499,1.755516823,5.246670789,4.595736096,2.683342371,9.786962973,1.975353945,16.17049194,2.894881116,6.95,13.65907883,10.45782454,15.19795151,8.646424371,1.823458253,13.52874587,13.8492057,34.54834449,4.890145507,6.110562705,4.364589961,4.064384152,6.093022755,12.03668704,15.85162084,41.65867856
15/07/2018,24.87400153,5.58440095,3.335944118,16.83105826,2.315025902,5.217990472,16.50735397,5.271705105,32.45753895,24.69493802,12.10876937,47.16614666,2.934102581,18.86361941,1.583090445,4.240585032,4.011143972,4.99,20.70169808,25.85062564,8.96656807,3.115769245,8.596536904,3.350601558,56.52289274,1.712390288,15.23392788,6.648301019,7.666639443,6.260747554,1.961655325,5.231303293,6.156188353,6.053564515,13.14937733,14.61435289,2.852064528,1.110861116,4.803086051,2.041358891,13.08536784,2.111588061,2.129765794,2.723384935,4.238906107,5.142271898,8.017040638,1.639164261,4.044739395,9.950562267,2.817313212,10.07774186,6.61077884,1.496938136,31.02726887,3.590133528,8.459578586,1.14175881,5.326481741,5.560333047,12.9,3.292462096,4.238906107,8.29153251,2.939050731,18.95764506,6.668345649,0.776783933,7.976226017,10.37582973,11.52300548,4.463985434,66.89928334,10.44768331,9.638820104,13.88519117,2.234349429,2.015469371,6.934139879,4.963297579,3.601628899,1.601164517,7.773240792,8.295566297,2.433398622,17.69789562,10.13433758,1.800986522,13.77663796,17.52449556,3.557214851,3.870821846,9.0315953,5.926518395,9.781563177,5.50893561,6.225684328,7.407330214,1.704744532,25.56984608,2.26991579,9.823788778,3.89772496,7.578792707,8.318713843,5.050586499,1.755516823,5.246670789,4.462073509,2.683342371,9.786962973,1.983723543,16.25562694,2.894881116,6.95,13.65907883,10.45782454,15.02209902,8.646424371,1.823458253,13.52874587,13.8492057,34.54834449,4.890145507,6.193281243,4.364589961,4.31953345,6.174347721,12.03668704,15.85162084,41.65867856
16/07/2018,24.87400153,5.431817683,3.335944118,16.83981867,2.315025902,5.36262464,16.50735397,5.271705105,32.45753895,24.69493802,12.10876937,47.16614666,2.873957264,18.97303845,1.583090445,4.240585032,4.011143972,4.99,20.45979103,25.85062564,8.96656807,3.167895307,8.834818858,3.350601558,56.39669793,1.772992416,15.23392788,6.648301019,7.71120627,6.236191909,1.961655325,5.231303293,6.111783507,6.116152564,13.14937733,14.61435289,2.821388629,1.110861116,4.559386692,2.041358891,13.10134868,2.111588061,2.129765794,2.723384935,4.152014002,4.520799876,8.017040638,1.639164261,4.044739395,9.950562267,2.817313212,10.07774186,6.475266404,1.838585309,31.02726887,3.590133528,8.965360952,1.14175881,5.326481741,5.560333047,12.9,3.224970871,4.152014002,8.521360241,2.939050731,18.95764506,6.72060752,0.776783933,7.906574315,10.37582973,11.52300548,4.211098226,66.89928334,10.44768331,9.638820104,13.88519117,2.184881802,2.015469371,7.126342904,4.963297579,3.601628899,1.601164517,7.773240792,8.295566297,2.433398622,17.69789562,10.02232844,1.800986522,13.77663796,17.52449556,3.052981914,3.772158944,9.0315953,5.805032415,9.781563177,5.661634302,6.225684328,7.407330214,1.704744532,25.56984608,2.26991579,9.823788778,3.790366406,7.639223183,8.35644063,5.200892575,1.767475523,5.246670789,4.41452066,2.683342371,9.786962973,1.976703448,16.25562694,2.882263794,6.95,13.7684972,10.45782454,15.07547918,8.197091199,1.823458253,13.52874587,13.8492057,34.54834449,4.890145507,6.468982681,4.409040106,4.064384152,6.198875295,12.03668704,15.85162084,41.65867856
17/07/2018,24.87400153,5.099602763,3.335944118,16.82719786,2.305582216,4.981358682,16.63123456,5.271705105,32.45753895,24.69493802,12.10876937,47.16614666,2.765798043,19.47425162,1.583090445,4.240585032,4.011143972,4.99,20.46932065,25.85062564,9.132975652,3.167895307,8.206690674,3.350601558,56.40530763,1.772992416,15.23392788,5.706178994,7.211177527,6.236191909,1.961655325,5.231303293,5.990749925,5.790969602,13.14937733,14.32460204,2.816902309,1.110861116,3.529325782,2.041358891,12.3473614,2.111588061,2.128953553,2.727858083,3.995756077,4.355896544,8.017040638,1.639164261,3.297567667,9.954223127,2.817313212,10.07774186,6.231574621,1.44554615,31.02726887,3.148153751,7.907071869,1.151465663,5.293217832,5.560333047,12.9,3.103601517,3.995756077,7.915517991,2.89093237,18.95764506,6.763857277,0.776783933,7.906574315,10.37582973,11.52300548,5.037115808,69.12984232,10.44768331,9.006685028,13.19154103,2.149559382,2.015469371,6.619682055,4.963297579,3.601628899,1.601164517,7.773240792,8.295566297,2.433398622,17.7648823,9.822292115,1.742059261,13.77663796,17.52449556,3.281328105,3.695750693,9.0315953,5.586564385,9.899021375,5.259109685,6.234680168,7.407330214,1.704744532,26.47222554,2.26991579,10.0681188,3.385397962,7.639223183,8.35644063,4.865795717,1.767475523,5.246670789,4.196662158,2.738078084,9.660242106,1.98269417,16.2742449,2.836174331,6.95,13.7684972,10.45782454,15.21051432,7.132072602,1.823458253,13.52874587,13.84552776,34.54834449,4.890145507,6.331847767,4.364589961,4.064384152,6.310824404,12.08003962,15.85162084,41.61414772
18/07/2018,24.87400153,5.24054834,3.335944118,17.02136259,2.262149942,5.138109863,16.66024231,5.223480546,32.45753895,24.68008904,12.10876937,47.16614666,2.882279106,19.45226506,1.583090445,4.240585032,4.045164039,4.969959758,20.48630924,25.85062564,9.177136235,3.159056837,8.464935169,3.343489661,56.64709532,1.772992416,15.23392788,6.648301019,7.325592032,6.259769608,1.961655325,5.231303293,6.143814107,5.489873068,13.14937733,14.32460204,2.79372313,1.172679831,4.078755191,2.041358891,12.35572965,2.111588061,2.12337163,2.727571701,4.164036591,4.625656734,8.017040638,1.639164261,3.39763039,9.965034361,2.817313212,10.07774186,6.494016212,1.44554615,31.02726887,3.496478601,8.965360952,1.13452333,5.293217832,5.560333047,12.9,3.23430911,4.164036591,8.164599994,2.89093237,19.34637038,6.794869572,0.776783933,7.908306779,9.830361136,11.52300548,4.817367594,69.12984232,10.44768331,9.006685028,13.19154103,2.149559382,1.991073407,6.827987268,4.963297579,3.647234172,1.601164517,7.773240792,9.08306805,2.430584097,18.4648146,9.968235808,1.742059261,13.67668069,17.52449556,3.074269331,3.595469806,9.0315953,5.82184149,9.714672185,5.424601012,6.234680168,7.407330214,1.704744532,23.90178614,2.26991579,10.10264658,3.611330249,7.655629753,9.99,5.062791788,1.778240657,5.246670789,4.469633149,2.738078084,9.660242106,1.98269417,16.2742449,2.846341082,6.95,13.7684972,10.45782454,15.31015559,8.197091199,1.823458253,13.61063971,14.16249216,34.9207016,4.984659382,6.701388463,4.364589961,4.064384152,6.310824404,12.25697503,15.92888193,41.3960673
19/07/2018,25.56950151,5.24054834,3.335944118,16.7750097,2.442266786,5.086492105,16.63123456,5.293406368,33.5180362,25.80851443,12.42345833,47.16614666,2.871937872,18.90135979,1.583090445,4.062144897,3.945622373,4.733402582,20.33308498,25.85062564,9.343308852,3.153783556,8.379895924,3.578181806,57.01039454,1.772992416,14.82990513,6.648301019,6.687799986,6.255733809,1.961655325,5.231303293,6.143814107,5.489873068,13.99787383,14.46308365,2.773474738,1.110861116,4.078755191,2.058072553,13.20707399,2.170869279,2.143190488,2.716175771,4.149096581,4.320809003,8.017040638,1.642637882,3.297567667,9.961564341,2.817313212,9.839129349,6.470716545,1.44554615,30.49620582,3.590133528,8.118959293,1.189110385,5.233914106,5.588793842,12.9,3.222704839,4.149096581,8.082577934,2.892819583,19.05793556,6.806560523,0.776783933,7.908306779,10.26538255,11.62915837,4.975173412,69.29282158,10.44768331,9.006685028,13.19154103,2.152419662,1.976344442,6.7593929,4.963297579,3.490531373,1.601164517,7.898147693,8.737705802,2.442174032,17.7648823,9.968235808,1.742059261,13.67668069,19.79594925,3.052981914,3.679003678,9.101238991,5.800953498,10.25156671,5.370105146,6.301439274,7.326778322,1.704744532,26.47222554,2.260920635,10.49888493,3.812584734,7.799293243,9.99,5.161243006,1.777259297,5.17989761,4.469633149,2.738078084,9.757208278,2.036483203,16.24716129,2.874582554,6.95,13.7684972,10.18140731,15.60961796,8.47976465,1.823458253,13.46226288,13.82523976,35.75887048,4.890145507,6.326348552,4.372816904,4.064384152,6.429403771,13.82658997,16.32704645,40.71968562
20/07/2018,25.56950151,5.24054834,3.335944118,16.7750097,2.409418834,4.947755657,16.63123456,5.279846874,33.5180362,25.80851443,12.42345833,47.16614666,2.901423357,19.08666264,1.509325087,4.062144897,3.945622373,4.325794725,20.19517926,25.85062564,9.243252226,3.17303418,8.15133035,3.578181806,57.11496527,2.055172977,14.82990513,6.189501197,6.718741252,6.255733809,1.961655325,5.231303293,6.312675652,4.857894759,13.99787383,14.46308365,2.851582908,1.113501285,4.078755191,2.058072553,13.20707399,1.772361183,2.117784575,2.845279558,4.191694343,4.689791632,8.017040638,1.642637882,3.297567667,9.917140084,2.817313212,9.839129349,6.537149812,1.639951045,30.49620582,2.748631782,8.118959293,1.189110385,5.26621424,5.588793842,13.28888889,3.255791563,4.191694343,7.862121847,2.961107208,19.05793556,6.806560523,0.776783933,7.908306779,10.31124597,11.62915837,5.22398778,69.46142399,10.44768331,9.006685028,13.19154103,2.241417996,1.976344442,6.575027302,4.963297579,3.490531373,1.601164517,7.898147693,8.744290638,2.457092789,17.16936144,9.968235808,2.12844884,13.67668069,19.79594925,3.052981914,3.457647011,9.101238991,5.860510471,10.26542913,5.22363302,6.301439274,7.334777464,2.219878385,25.88881589,2.260920635,10.72128262,3.803580512,7.799293243,8.35644063,4.772748296,1.778986582,5.17989761,3.712337641,2.738078084,9.975419129,2.04560081,16.17041331,2.722847376,6.95,13.7684972,10.18140731,15.33576558,8.16646814,1.944479365,13.46226288,13.79642093,35.61121859,4.890145507,6.203865911,4.35656687,4.064384152,6.330510788,13.8496222,16.32704645,39.69171892
21/07/2018,25.56950151,5.24054834,4.633560035,16.92943342,2.485922793,4.76971873,16.66024231,5.336409689,33.5180362,25.36346103,12.42345833,47.16614666,2.867333044,19.08666264,1.568784625,4.062144897,4.075419555,4.325794725,20.22002014,25.85062564,9.243252226,3.209984802,7.858018006,3.585360255,56.83757916,2.055172977,14.82990513,6.189501197,6.134899023,6.229873935,1.961655325,5.231303293,6.312675652,4.857894759,13.55276286,14.46308365,2.872808578,1.114678778,4.078755191,2.065778475,12.9541981,2.06565658,2.115726282,2.845279558,4.142443974,4.689791632,8.509737304,1.642637882,3.320290818,9.940429733,2.817313212,9.839129349,6.460341483,1.44554615,31.04718994,2.290056324,8.118959293,1.189110385,5.25277582,5.538596143,13.67777778,3.217537596,4.142443974,7.5792162,2.898146367,19.34637038,6.86775402,0.789535636,7.908306779,10.21625964,11.62915837,5.101587621,69.46142399,10.44768331,9.342096712,13.19154103,2.241417996,1.913613008,6.338435656,4.963297579,3.458057339,1.601164517,7.853524538,8.676727922,2.453641997,17.16936144,9.297939143,2.12844884,13.67668069,19.79594925,3.052981914,3.499219961,9.101238991,5.791652324,9.951202681,5.035669096,6.301439274,7.334777464,2.219878385,25.88881589,2.241596522,10.72128262,3.407108681,7.904449476,8.35644063,4.361069222,1.778986582,5.194855159,3.712337641,2.685602898,9.928978814,2.064598676,15.44556154,2.725916421,6.95,13.7684972,10.20088769,15.03759443,8.16646814,1.944479365,13.48221731,13.84921122,35.61121859,4.890145507,6.203865911,4.420022691,4.064384152,6.373034923,14.28188608,16.32704645,39.69171892
22/07/2018,25.56950151,5.307509189,3.335944118,16.90554995,2.468832311,4.78551692,16.63123456,5.279846874,33.5180362,26.34656617,12.42345833,47.16614666,2.848586443,19.20987219,1.591994025,4.062144897,3.945622373,4.325794725,20.22725211,25.85062564,9.231082585,3.193160337,7.884045213,3.578181806,57.09970454,2.055172977,14.82990513,5.967472083,6.134899023,6.255733809,1.961655325,5.231303293,6.285223878,4.857894759,13.99787383,14.46308365,2.901214242,1.110861116,3.539653801,2.058072553,12.6976699,1.753347268,2.117784575,2.735326862,4.115360707,4.689791632,8.017040638,1.642637882,3.297567667,9.940429733,2.817313212,9.839129349,6.41810382,1.44554615,30.49620582,2.290056324,8.118959293,1.189110385,5.26621424,5.588793842,14.06666667,3.19650136,4.115360707,7.604319964,2.961107208,19.05793556,6.806560523,0.776783933,7.908306779,10.31124597,11.62915837,5.101587621,69.46142399,10.44768331,9.342096712,13.19154103,2.241417996,1.976344442,6.359429726,4.963297579,3.583527394,1.601164517,7.898147693,8.744290638,2.457092789,17.16936144,9.297939143,2.12844884,13.67668069,19.79594925,3.052981914,3.499219961,9.101238991,5.753786546,10.26542913,5.052348162,6.301439274,7.306322167,2.219878385,23.18188346,2.260920635,10.72128262,3.853286361,7.799293243,8.35644063,4.361069222,1.778986582,5.17989761,3.712337641,2.685602898,9.928978814,2.064598676,15.41206184,2.722847376,6.95,13.7684972,10.18140731,15.0774262,7.66908977,1.944479365,13.46097825,13.79642093,35.61121859,4.890145507,6.203865911,4.434775858,4.064384152,6.373034923,13.99121154,16.32704645,39.68756681
